id: 2;segment: AVITO_VOICE_MESSAGES;operation: CREATE;date: 2023-08-31 02:55:51 +0500 +05
id: 2;segment: AVITO_VOICE_MESSAGES;operation: DELETE;date: 2023-08-31 04:29:39 +0500 +05
id: 1;segment: A_TEST3;operation: CREATE;date: 2023-08-31 02:54:26 +0500 +05
id: 3;segment: AVITO_PERFORMANCE_VAS;operation: CREATE;date: 2023-08-31 02:55:51 +0500 +05
id: 10;segment: AVITO_NEW;operation: CREATE;date: 2023-08-31 03:51:57 +0500 +05
id: 11;segment: AVITO_TWO;operation: CREATE;date: 2023-08-31 03:51:57 +0500 +05
id: 12;segment: AVITO_NEW_1;operation: CREATE;date: 2023-08-31 04:03:38 +0500 +05
id: 13;segment: AVITO_TWO_2;operation: CREATE;date: 2023-08-31 04:03:38 +0500 +05
id: 14;segment: AVITO_NEW_3;operation: CREATE;date: 2023-08-31 04:08:37 +0500 +05
id: 15;segment: AVITO_TWO_3;operation: CREATE;date: 2023-08-31 04:08:37 +0500 +05
id: 16;segment: AVITO_NEW_4;operation: CREATE;date: 2023-08-31 04:27:27 +0500 +05
id: 17;segment: AVITO_TWO_4;operation: CREATE;date: 2023-08-31 04:27:27 +0500 +05
id: 18;segment: AVITO_CUP;operation: CREATE;date: 2023-08-31 04:29:40 +0500 +05
id: 19;segment: AVITO_AIR;operation: CREATE;date: 2023-08-31 04:29:40 +0500 +05
